NPC,c_r,c_sse,c_sselat,c_sseax,c_x0,c_y0,c_z0,c_tilt_x,c_tilt_y,c_tilt_z,el_major,el_minor,el_q,el_rot,el_ssum,el_ssumXY,el_ssumZ,ce_x0,ce_y0,cez0,e_tilt_x,e_tilt_y,e_tilt_z
27,52.7658663611003,59.42915428720445,3.3434456533250705,56.08570863387937,6.710892107403751,-2.268683999936453,17.11334815655177,-0.00027164298884380794,0.0015196170061662628,5.117570088367107e-05,56.2,50.025,0.8925000000000001,0.04299999999999998,99.3,43.2,56.074999999999996,6.828406720675877,-2.246291268973982,17.0872650965582,-0.00027164298884380794,0.0015196170061662628,5.117570088367107e-05
28,47.62153324737032,79.03248908848386,3.8063356504120005,75.22615343807186,2.347154338852092,-2.3963346523834685,19.967439526485894,0.041123960486993065,0.0026687753190221264,0.49851707854154026,52.775,43.375,0.8200000000000001,-1.11075,108.27499999999999,33.050000000000004,75.225,2.359625490383124,-2.4902718372957526,19.974096875541093,0.041123960486993065,0.0026687753190221264,0.49851707854154026
29,43.136715066058535,29.698327080478627,4.0360775289871835,25.662249551491445,3.3513016562949396,2.4829714773810925,16.99077646225348,0.1443390692002291,0.03270127292148893,-0.4779150586117984,48.0,39.525,0.8225,-0.61,83.0,57.325,25.65,3.316116571760656,2.349703509384916,16.982065978315937,0.1443390692002291,0.03270127292148893,-0.4779150586117984
30,39.18386867888886,35.2673396238381,2.7896312535080527,32.47770837033004,1.2967729420046965,3.1523782074210507,15.749497817012376,-0.01640210954425689,-0.06373079590874231,0.4968798093238444,42.375,36.725,0.8675,-0.47525000000000006,66.525,34.025,32.5,1.361135166895314,3.2623092748667775,15.704438741416537,-0.01640210954425689,-0.06373079590874231,0.4968798093238444
31,37.643574940506056,47.96869058194551,3.0378482264047655,44.93084235554074,1.3558543873129734,6.3534977921981355,16.868383069438924,-0.02421105259874158,0.12383714222120515,-0.4810994340661801,40.625,35.599999999999994,0.875,-1.044,94.075,49.150000000000006,44.95,1.185655689011983,6.154265943970644,16.797902055939698,-0.02421105259874158,0.12383714222120515,-0.4810994340661801
32,41.910955021380026,66.99996410581736,4.696655198863345,62.30330890695401,-0.8733269720435993,-3.4913919878441337,15.582664096602592,-0.014135397005312644,0.06610158611552358,-0.4953430918548801,48.65,36.875,0.765,0.11624999999999996,99.2,36.925000000000004,62.300000000000004,-0.5762525636301776,-3.531533327958136,15.576131973232005,-0.014135397005312644,0.06610158611552358,-0.4953430918548801
33,27.771002902987384,35.90670681524081,5.544660523578711,30.3620462916621,-0.9689439596630245,0.05077526934818033,15.929329697359574,0.03674113759512441,0.19630593002297064,-0.04374976637955322,36.45,22.974999999999998,0.645,-0.20375000000000004,97.4,67.02499999999999,30.35,-1.1664697258891417,-0.523009707106962,15.907470948056538,0.03674113759512441,0.19630593002297064,-0.04374976637955322
34,44.406415748062294,45.61664814653398,3.1831189473372836,42.4335291991967,0.8684685625062076,-4.003333728675674,16.56882551797961,0.1333885090977925,-0.050122946799667945,-0.9752421617348377,47.875,41.95,0.88,-0.49799999999999994,89.425,47.0,42.45,0.99984422200293,-3.855721872205536,16.61116585133368,0.1333885090977925,-0.050122946799667945,-0.9752421617348377
35,31.25517549680135,40.04154426697665,4.39623502536539,35.645309241611265,0.5319950175548795,6.420148232463491,17.94267328419681,-0.10385443927007128,-0.04491771651727722,0.9870201130250941,36.925,27.675,0.7525,0.48,107.55,71.925,35.65,0.668921378569893,6.270890806810554,17.89373226131855,-0.10385443927007128,-0.04491771651727722,0.9870201130250941
36,43.99603638863854,51.305651424309914,3.347978745289672,47.95767267902025,0.783135455064678,-0.21569698472178978,18.029315155952972,-0.047214042800606766,0.11166047134757073,-0.4855659947486556,48.275000000000006,40.475,0.8425,-0.43174999999999997,74.575,26.575,47.95,0.7915988526132398,-0.31237451184492493,18.026016669802612,-0.047214042800606766,0.11166047134757073,-0.4855659947486556
37,39.20691061975356,31.43235078165872,4.190057529351421,27.2422932523073,-3.718725342436672,-1.8888509740315718,16.934282984873793,-0.04865138620943514,-0.01791340989890923,-0.9895022196374895,44.349999999999994,35.4,0.8025,0.7947500000000001,69.75,42.475,27.25,-3.859516025309217,-2.110286700484294,16.961533492380887,-0.04865138620943514,-0.01791340989890923,-0.9895022196374895
38,33.349571799478426,27.180928586629214,3.7575720792731797,23.42335650735604,-0.5662004798203034,0.03521243537059754,17.519437968061222,-0.08277271630733372,0.002264933342945516,0.0044176138520097274,38.375,29.5,0.7725000000000001,0.35924999999999996,54.15,30.725,23.424999999999997,-0.5290300375092409,0.04774849746246301,17.530780230463442,-0.08277271630733372,0.002264933342945516,0.0044176138520097274
39,38.2541557062377,15.172326203191574,4.495467796652452,10.676858406539122,-0.7429011702018319,-0.8925479902903731,14.96337950095619,0.05744723226685994,0.06182411960971051,-0.4931791850095002,44.25,33.675,0.76,-1.1355,54.62500000000001,43.949999999999996,10.700000000000001,-0.7704805289318837,-0.9049990816654061,14.961159714260775,0.05744723226685994,0.06182411960971051,-0.4931791850095002
40,39.05082938365531,73.17810459681083,3.354496845969053,69.82360775084177,0.8666395742708961,-2.730727909945135,16.631389702278188,0.02190730032634873,-0.08860999289934769,0.4918197232293475,43.3,35.85,0.8275,-1.1625,114.94999999999999,45.1,69.8,1.025525612523258,-2.7596277784954424,16.61706686850849,0.02190730032634873,-0.08860999289934769,0.4918197232293475
41,42.34615999107635,39.80694170665932,4.675771023760617,35.131170682898706,-3.6754970564240574,3.850243307167527,16.191269202208364,-0.01866983245627317,0.1143741475018892,0.4859587344551707,48.800000000000004,37.400000000000006,0.7775,-0.35950000000000004,63.775,28.674999999999997,35.125,-3.653748912564118,3.6473606456029573,16.22797836411056,-0.01866983245627317,0.1143741475018892,0.4859587344551707
42,40.4888743694538,20.033534336982157,4.121226462039785,15.912307874942371,0.5818323335462151,5.112880950871157,18.36966632381188,-0.05279360992416819,-0.09238760145945793,0.012443388885357815,46.825,35.675,0.78,0.4744999999999999,26.35,10.425,15.9,0.5948900819765188,5.0745000347913045,18.358257741435345,-0.05279360992416819,-0.09238760145945793,0.012443388885357815
43,43.79557523692272,14.853565253258292,2.905784114191479,11.947781139066812,-0.04351777330332329,0.6285822997501527,16.603718726019476,0.1827316889559077,-0.060006649799102904,-0.4610773177953718,48.05,40.175,0.8425,0.31575,15.75,3.7750000000000004,11.95,-0.022188389130372466,0.5988575754515097,16.598558947007213,0.1827316889559077,-0.060006649799102904,-0.4610773177953718
44,43.31183909333531,40.79367845769363,2.287417246177008,38.506261211516616,2.5128604673489674,6.2285809085035755,19.150235695634798,0.12235816634892835,0.07571588678318006,-0.9875450795279628,46.3,40.7,0.8775,0.7962499999999999,49.775,11.225000000000001,38.475,2.5594552945998545,6.14718364449633,19.153779259298073,0.12235816634892835,0.07571588678318006,-0.9875450795279628
45,44.74487363767291,25.494823850914145,3.721494332488605,21.77332951842554,10.920728344956162,-0.050373929430633124,16.196035605322507,0.06841919701340829,0.06818209937081837,0.012339207576857941,48.275,42.5,0.88,-0.052,104.6,82.825,21.75,10.871637785083056,-0.23101794362935402,16.164085430117645,0.06841919701340829,0.06818209937081837,0.012339207576857941
46,34.21476112325778,44.67466699492172,3.762881855352328,40.911785139569396,1.2108949979087396,3.348392671933485,18.87475257933378,0.16215595136406616,0.28285623105577873,-0.01547784250642742,39.675,29.875,0.7575,-0.636,60.72500000000001,19.85,40.925,1.1369464569406929,3.3666328607499714,18.845139314107563,0.16215595136406616,0.28285623105577873,-0.01547784250642742
47,28.224039562157255,28.4149118935278,3.4359948411422385,24.978917052385565,2.643921809972953,1.454352779763804,19.532876538417835,0.08079174126273429,-0.07368120744993319,0.004431145149339566,31.525000000000006,26.45,0.84,-0.026000000000000023,83.55,58.575,25.0,2.7289125173441473,1.466759702125578,19.543343075712453,0.08079174126273429,-0.07368120744993319,0.004431145149339566
48,38.350264415903936,35.88612571848665,5.158273642970935,30.727852075515713,6.3948393136974655,-4.846602788645575,17.63337560959845,-0.14056973325405187,-0.06664313528694833,-0.007646547825371164,45.6,32.849999999999994,0.7225,0.029249999999999995,71.65,40.925,30.7,6.324037071869138,-5.033246657638726,17.629763328418917,-0.14056973325405187,-0.06664313528694833,-0.007646547825371164
